"ID" "species"
392 "Amblyseius subtilidentis"
393 "Amblyseius sumatrensis"
395 "Amblyseius supercaudatus"
397 "Amblyseius talpa"
401 "Amblyseius terreus"
402 "Amblyseius terricola"
403 "Amblyseius theae"
404 "Amblyseius tianmuensis"
405 "Amblyseius triangulus"
406 "Amblyseius trisetosus"
409 "Amblyseius tubocalicis"
410 "Amblyseius tuscus"
411 "Amblyseius unicus"
412 "Amblyseius utricularius"
413 "Amblyseius utriculus"
414 "Amblyseius vagatus"
415 "Amblyseius vagus"
416 "Amblyseius valpoensis"
418 "Amblyseius varius"
419 "Amblyseius vasiformis"
420 "Amblyseius verginensis"
421 "Amblyseius victoireae"
422 "Amblyseius vineaticus"
423 "Amblyseius vitis"
424 "Amblyseius vitreus"
426 "Amblyseius wangi"
427 "Amblyseius wanka"
428 "Amblyseius williamsi"
429 "Amblyseius yadongensis"
430 "Amblyseius yumbus"
432 "Archeosetus rackae"
433 "Aristadromips aberdaresensis"
434 "Aristadromips benavidesi"
435 "Aristadromips cydonus"
436 "Aristadromips escarsidentatus"
438 "Aristadromips quercicolus"
439 "Aristadromips sangangensis"
440 "Aristadromips spinigerus"
441 "Arrenoseius arenicolus"
442 "Arrenoseius cavei"
443 "Arrenoseius cesi"
444 "Arrenoseius coronatus"
445 "Arrenoseius costaricus"
447 "Arrenoseius donchanti"
448 "Arrenoseius gambogi"
449 "Arrenoseius gaucho"
450 "Arrenoseius gloreus"
451 "Arrenoseius gonzalezi"
452 "Arrenoseius grandis"
453 "Arrenoseius greenae"
455 "Arrenoseius imbricatus"
457 "Arrenoseius lofegoi"
459 "Arrenoseius palustris"
460 "Arrenoseius papenfussi"
461 "Arrenoseius robertogonzalezi"
462 "Arrenoseius sentralus"
464 "Arrenoseius tucumanensis"
465 "Arrenoseius tularosa"
467 "Asperoseius africanus"
469 "Asperoseius baguioensis"
471 "Asperoseius jujubae"
473 "Asperoseius latericulus"
474 "Australiseiulus angophorae"
476 "Australiseiulus dewi"
478 "Australiseiulus laterisetus"
479 "Australiseiulus poplar"
480 "Breviseius sennae"
481 "Chanteius apoensis"
483 "Chanteius guangdongensis"
484 "Chanteius hainanensis"
485 "Chanteius makapalus"
486 "Chanteius nabiyakus"
487 "Chanteius tengi"
488 "Chanteius separatus"
489 "Chantia paradoxa"
491 "Chelaseius austrellus"
492 "Chelaseius brazilensis"
493 "Chelaseius caudatus"
495 "Chelaseius freni"
497 "Chelaseius pluridentatus"
498 "Chelaseius schusterellus"
500 "Chelaseius valliculosus"
502 "Chileseius australis"
503 "Chileseius camposi"
504 "Chileseius paracampposi"
505 "Cocoseius elsalvador"
506 "Cocoseius palmarum"
507 "Cocoseius paucisetis"
508 "Cydnoseius africanus"
509 "Cydnoseius cordiae"
510 "Cydnoseius medanicus"
511 "Cydnoseius muntius"
512 "Cydnoseius negevi"
513 "Cydnoseius schusteri"
514 "Cydnoseius vitis"
515 "Cydnoseius zaheri"
516 "Diaphoroseius josephi"
518 "Euseius rubicolus"
519 "Euseius aferulus"
520 "Euseius affinis"
521 "Euseius africanus"
522 "Euseius ahaioensis"
523 "Euseius aizawai"
524 "Euseius alangii"
526 "Euseius albizziae"
527 "Euseius aleyrodis"
528 "Euseius alstoniae"
529 "Euseius alterno"
530 "Euseius amabilis"
532 "Euseius andrei"
533 "Euseius apsheronica"
534 "Euseius arunachalensis"
535 "Euseius astrictus"
536 "Euseius australis"
537 "Euseius badius"
538 "Euseius baetae"
539 "Euseius bambusae"
540 "Euseius bandispermathecae"
541 "Euseius batus"
542 "Euseius beninensis"
543 "Euseius bomdilae"
544 "Euseius mesembrinus"
545 "Euseius brevifistulae"
546 "Euseius rotundus"
547 "Euseius bwende"
548 "Euseius caricus"
550 "Euseius castaneae"
551 "Euseius ceylonicus"
552 "Euseius chikmagalurensis"
553 "Euseius chitradurgae"
554 "Euseius chittooriensis"
555 "Euseius circellatus"
556 "Euseius citri"
558 "Euseius coccineae"
559 "Euseius coccosocius"
560 "Euseius consors"
561 "Euseius daluensis"
562 "Euseius darghaiensis"
564 "Euseius densus"
565 "Euseius distinctus"
566 "Euseius dossei"
568 "Euseius dwakiensis"
569 "Euseius eitanae"
571 "Euseius emanus"
572 "Euseius emotus"
573 "Euseius ennsi"
574 "Euseius eremicus"
575 "Euseius errabundus"
576 "Euseius erugatus"
577 "Euseius eucalypti"
578 "Euseius facundus"
579 "Euseius fascae"
580 "Euseius fidelus"
