scientificname	longitude	latitude
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	-52.769167	-28.288333
Neoseiulus tunus	53.593333	-28.660833
Neoseiulus tunus	-47.788056	-21.603611
Neoseiulus veigai	-47.844167	-24.9025
Neoseiulus veigai	-47.844167	-24.9025
Paraamblyseius multicirculares	-47.882778	-24.614167
Paraamblyseius multicirculares	-47.882778	-24.614167
Paraphytoseius orientalis	-34.95	-7.4
Paraphytoseius orientalis	-42.372222	-14.143889
Paraphytoseius orientalis	-34.95	-7.4
Paraphytoseius orientalis	-42.372222	-14.143889
Paraphytoseius orientalis	-34.95	-7.4
Paraphytoseius orientalis	-34.95	-7.4
Paraphytoseius orientalis	-37.725278	-11.825278
Paraphytoseius orientalis	-34.95	-7.4
Paraphytoseius orientalis	-34.95	-7.4
Paraphytoseius orientalis	-42.627222	-21.528889
Phytoscutus sexpilis	-47.633333	-22.704444
Phytoscutus sexpilis	-47.633333	-22.704444
Phytoscutus sexpilis	-47.880833	-24.615833
Phytoseiulus macropilis	-47.883333	-24.610833
Phytoseiulus macropilis	-47.627222	-22.709167
Phytoseiulus macropilis	-47.883333	-24.610833
Phytoseiulus macropilis	-47.629722	-22.709722
Phytoseius aff guianensis	-47.641667	-22.708333
Phytoseius aff guianensis	-47.641667	-22.708333
Phytoseius aff guianensis	-47.641667	-22.708333
Phytoseius aff guianensis	-47.641667	-22.708333
Phytoseius aff guianensis	-47.641667	-22.708333
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-56.519167	-29.148889
Phytoseius guianensis	-56.519167	-29.148889
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius guianensis	-52.816389	-27.779722
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-38.416667	-3.883333
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-53.166667	-26.886111
Phytoseius guianensis	-56.818333	-29.468889
Phytoseius guianensis	-40.9	-3.866667
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-56.519167	-29.148889
Phytoseius guianensis	-37.966667	-4.333333
Phytoseius guianensis	-37.966667	-4.333333
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-37.783333	-4.516667
Phytoseius guianensis	-37.966667	-4.333333
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-47.8225	-21.913889
Phytoseius guianensis	-52.425556	-25.4
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-56.519167	-29.148889
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius guianensis	-42.372222	-14.143889
Phytoseius guianensis	-52.666667	-26.216667
Phytoseius guianensis	-52.425556	-25.4
Phytoseius guianensis	-42.372222	-14.143889
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-40.9	-3.866667
Phytoseius guianensis	-52.135556	-22.918611
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-52.816389	-27.779722
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-52.55	-26.015278
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-52.816389	-27.779722
Phytoseius guianensis	-37.966667	-4.333333
Phytoseius guianensis	-37.783333	-4.516667
Phytoseius guianensis	-53.285278	-24.785278
Phytoseius guianensis	-52.55	-26.015278
Phytoseius guianensis	-46.783333	-4.133333
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-38.416667	-3.883333
Phytoseius guianensis	-52.666667	-26.216667
Phytoseius guianensis	-56.519167	-29.148889
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-47.8225	-21.913889
Phytoseius guianensis	-52.816389	-27.779722
Phytoseius guianensis	-38.416667	-3.883333
Phytoseius guianensis	-53.251944	-27.191667
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-40.9	-3.866667
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-52.666667	-26.216667
Phytoseius guianensis	-56.519167	-29.148889
Phytoseius guianensis	-47.8225	-21.913889
Phytoseius guianensis	-37.966667	-4.333333
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-52.816389	-27.779722
Phytoseius guianensis	-38.416667	-3.883333
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-53.166667	-26.886111
Phytoseius guianensis	-52.390278	-24.052778
Phytoseius guianensis	53.593333	-28.660833
Phytoseius guianensis	-53.246389	-28.378889
Phytoseius guianensis	-52.55	-26.015278
Phytoseius guianensis	-52.55	-26.015278
Phytoseius guianensis	-47.8225	-21.913889
Phytoseius guianensis	-55.127222	-29.551667
Phytoseius guianensis	-53.507222	-28.301944
Phytoseius guianensis	-47.788056	-21.603611
Phytoseius guianensis	-40.9	-3.866667
Phytoseius guianensis	-53.887778	-28.372222
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-42.3375	-19.246111
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-47.629167	-22.708611
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-45.4975	-21.376111
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-47.631667	-22.708333
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-40.742778	-20.728333
Phytoseius woodburyi	-52.390278	-24.052778
Phytoseius woodburyi	-47.629167	-22.708611
Proprioseiopsis dominigos	-47.881944	-24.610556
Proprioseiopsis dominigos	-47.627222	-22.709167
Proprioseiopsis dominigos	-47.880833	-24.615833
Proprioseiopsis dominigos	-47.881944	-24.610556
Proprioseiopsis dominigos	-47.880833	-24.615833
Proprioseiopsis dominigos	-47.627222	-22.709167
Proprioseiopsis neotropicus	-47.886944	-24.607778
Proprioseiopsis neotropicus	-47.886944	-24.607778
Proprioseiopsis neotropicus	-47.883333	-24.610833
Proprioseiopsis neotropicus	-47.864167	-24.9125
Proprioseiopsis ovatus	-47.629722	-22.709722
Proprioseiopsis ovatus	-47.629722	-22.709722
Proprioseiopsis ovatus	-47.618889	-22.714722
Proprioseiopsis ovatus	-47.633333	-22.704444
Scapulaseius linhares	-47.886389	-24.610556
Scapulaseius linhares	-47.881944	-24.610556
Scapulaseius linhares	-47.886389	-24.610556
Scapulaseius linhares	-47.881944	-24.610556
Scapulaseius linhares	-47.881944	-24.610556
Scapulaseius linhares	-47.886389	-24.610556
Tenuisternum bahiensis	-41.051944	-11.435833
Tenuisternum bahiensis	-41.051944	-11.435833
Tenuisternum bahiensis	-41.051944	-11.435833
Tenuisternum bahiensis	-41.051944	-11.435833
Tenuisternum bahiensis	-41.051944	-11.435833
Tenuisternum bahiensis	-41.051944	-11.435833
Typhlodromalus limonicus	-47.864167	-24.9125
Typhlodromalus limonicus	-47.864167	-24.9125
Typhlodromalus aripo	-47.8225	-21.913889
Typhlodromalus aripo	-41.051944	-11.435833
Typhlodromina subtropica	-47.633333	-22.71
Typhlodromina subtropica	-47.633333	-22.71
Typhlodromips ariri	-47.864167	-24.9125
Typhlodromips ariri	-47.864167	-24.9125
Typhlodromips ariri	-47.844167	-24.910833
Typhlodromips ariri	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.880833	-24.615833
Typhlodromips cananeiensis	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.844167	-24.9025
Typhlodromips cananeiensis	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.864167	-24.9125
Typhlodromips cananeiensis	-47.844167	-24.9025
Typhlodromus transvaalensis	-47.629167	-22.708611
Typhlodromus transvaalensis	-47.844167	-24.9025
Typhlodromus transvaalensis	-47.629722	-22.709722
Amblyseius chicomendesi	-67.8746	-9.9573
Iphiseiodes zuluagai	-49.4338	-20.8322
Phytoseius nahuatlensis	-49.35	-20.7666
Euseius concordis	-48.6311	-21.4441
Iphiseiodes zuluagai	-49.4338	-20.8322
Euseius citrifolius	-48.6311	-21.4441
Galendromus annectens	-49.3594	-20.7855
Phytoscutus sexpilis	-59.9892	-3.0945
Iphiseiodes zuluagai	-48.6311	-21.4441
Phytoseius nahuatlensis	-49.35	-20.7666
Euseius concordis	-49.3619	-20.7488
Amblyseius neochiapensis	-51.7206	-17.8853
Euseius citrifolius	-49.3619	-20.7488
Euseius citrifolius	-48.5675	-20.5583
Phytoseius nahuatlensis	-49.2212	-21.4691
Euseius citrifolius	-49.3619	-20.7488
Euseius concordis	-49.3544	-20.7758
Neoseiulus tunus	-52.6664	-18.393
Galendromus annectens	-49.3261	-20.7816
Metaseiulus sp. (cf. cornus)	-48.9147	-21.228
Typhlodromips igapo	-59.8259	-3.1974
Euseius concordis	-54.75	-17.3834
Euseius sibelius	-50.3397	-20.9208
Iphiseiodes zuluagai	-48.6311	-21.4441
Phytoseius guianensis	-49.3166	-20.7666
Amblydromalus akiri	-67.9	-10.1666
Amblyseius herbicolus	-49.9753	-20.4202
Euseius citrifolius	-49.3619	-20.7488
Euseius citrifolius	-49.2698	-20.9029
Amblyseius perditus	-59.9727	-2.8934
Amblyseius chiapensis	-48.6311	-21.4441
