"species_search"	"decimalLongitude"	"decimalLatitude"
"Amblyseius herbicolus"	145.62	-17.52
"Amblyseius herbicolus"	145.62	-17.28
"Amblyseius herbicolus"	145.52	-17.68
"Amblyseius herbicolus"	145.37	-17.38
"Amblyseius herbicolus"	145.6	-17.27
"Amblyseius herbicolus"	153	-27.48
"Amblyseius herbicolus"	-28.72369	38.52747
"Amblyseius herbicolus"	-28.71795	38.52756
"Amblyseius herbicolus"	-28.66062	38.52839
"Amblyseius herbicolus"	-28.69513	38.5324
"Amblyseius herbicolus"	-28.74684	38.53614
"Amblyseius herbicolus"	-28.74111	38.53623
"Amblyseius herbicolus"	-28.81127	38.58923
"Amblyseius herbicolus"	-28.72931	38.52289
"Amblyseius herbicolus"	-28.70638	38.52322
"Amblyseius herbicolus"	-28.70065	38.52331
"Amblyseius herbicolus"	-28.68345	38.52355
"Amblyseius herbicolus"	-28.67771	38.52364
"Amblyseius herbicolus"	-28.70075	38.52781
"Amblyseius herbicolus"	-28.68355	38.52806
"Amblyseius herbicolus"	-28.67208	38.52822
"Amblyseius herbicolus"	-28.66635	38.5283
"Amblyseius herbicolus"	-28.7238	38.53198
"Amblyseius herbicolus"	-28.68939	38.53248
"Amblyseius herbicolus"	-28.67792	38.53264
"Amblyseius herbicolus"	-28.66645	38.53281
"Amblyseius herbicolus"	-28.66072	38.53289
"Amblyseius herbicolus"	-28.65499	38.53297
"Amblyseius herbicolus"	-28.73537	38.53631
"Amblyseius herbicolus"	-28.69523	38.5369
"Amblyseius herbicolus"	-28.6895	38.53698
"Amblyseius herbicolus"	-28.68376	38.53707
"Amblyseius herbicolus"	-28.67229	38.53723
"Amblyseius herbicolus"	-28.70107	38.54132
"Amblyseius herbicolus"	-28.69534	38.5414
"Amblyseius herbicolus"	-28.68387	38.54157
"Amblyseius herbicolus"	-28.74706	38.54515
"Amblyseius herbicolus"	-28.69544	38.54591
"Amblyseius herbicolus"	-28.68397	38.54607
"Amblyseius herbicolus"	-28.60941	38.54712
"Amblyseius herbicolus"	-28.60368	38.5472
"Amblyseius herbicolus"	-28.69555	38.55041
"Amblyseius herbicolus"	-28.62672	38.55139
"Amblyseius herbicolus"	-28.62098	38.55147
"Amblyseius herbicolus"	-28.62109	38.55597
"Amblyseius herbicolus"	-28.6384	38.56024
"Amblyseius herbicolus"	-28.62119	38.56048
"Amblyseius herbicolus"	-28.64424	38.56466
"Amblyseius herbicolus"	-28.62129	38.56498
"Amblyseius herbicolus"	-28.60981	38.56514
"Amblyseius herbicolus"	-28.76481	38.56741
"Amblyseius herbicolus"	-28.76492	38.57191
"Amblyseius herbicolus"	-28.05673	38.41824
"Amblyseius herbicolus"	-28.05114	38.4273
"Amblyseius herbicolus"	-28.08563	38.436
"Amblyseius herbicolus"	-28.07991	38.43605
"Amblyseius herbicolus"	-28.06272	38.43621
"Amblyseius herbicolus"	-28.06279	38.44072
"Amblyseius herbicolus"	-28.16611	38.45325
"Amblyseius herbicolus"	-28.16039	38.45331
"Amblyseius herbicolus"	-28.14893	38.45342
"Amblyseius herbicolus"	-28.18338	38.45758
"Amblyseius herbicolus"	-25.4934	37.73742
"Amblyseius herbicolus"	-25.48772	37.73735
